Threshold,TP,TN,FP,FN,TPR,FPR,PPV,sensitivity,specificity
0,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
1,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
2,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
3,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
4,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
5,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
6,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
7,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
8,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
9,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
10,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
11,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
12,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
13,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
14,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
15,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
16,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
17,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
18,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
19,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
20,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
21,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
22,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
23,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
24,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
25,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
26,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
27,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
28,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
29,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
30,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
31,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
32,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
33,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
34,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
35,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
36,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
37,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
38,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
39,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
40,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
41,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
42,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
43,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
44,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
45,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
46,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
47,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
48,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
49,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
50,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
51,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
52,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
53,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
54,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
55,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
56,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
57,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
58,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
59,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
60,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
61,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
62,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
63,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
64,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
65,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
66,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
67,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
68,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
69,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
70,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
71,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
72,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
73,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
74,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
75,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
76,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
77,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
78,151,0,1111,0,1.000000,1.000000,0.880349,1.000000,0.000000
